label x Gender Gender_ID Greek Home_Town In_State Ethnicity Religion Religious like_Math Calculus ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Social_Media Texts Good_or_Well Expected_Income President Illinois_Commitment Family_Income Liberal Political_Party Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section
Obs1 1 1 1 0 2 1 5 6 1 8 1 33 3.2 6 6 1 2 4 1 6 2 75 5 6 200 4 2 4 8 0 100 1 1 
Obs2 2 1 1 0 3 1 1 0 9 0 1 20 3 0 0 4 2 2 10 1 10 500 6 10 50 0 0 5 7 10 10 8 1 
Obs3 3 0 0 1 0 1 0 0 5 2 0 19 3 8 5 7 0 5 10 4 7 80 6 9 50 2 0 6 7 5 10 8 1 
Obs4 4 1 1 0 1 1 1 0 5 7 0 24 3.5 5 3 15 2 3 2 5 5 70 5 8 75 4 0 4 8 10 20 3 1 
Obs5 5 1 1 0 3 1 0 7 0 4 1 32 2.1 0 4 9 1 7 2 5 8 105 2 10 30 0 0 6 8 25 0 10 1 
Obs6 6 1 1 0 3 1 0 0 5 7 0 26 3.7 8 12 13 0 2 4 5 8 300 6 3 600 2 0 5 5 0 100 7 1 
Obs7 7 0 0 0 3 1 2 5 7 9 1 25 3.3 7 10 1 1 12 4 4 5 80 5 10 20 5 0 6 8 0 0 2 1 
Obs8 8 1 1 0 3 1 2 0 8 10 1 23 3.9 1 0 5 4 6 2 6 5 80 5 10 21 9 0 5 10 0 0 6 1 
Obs9 9 1 1 1 2 1 0 0 7 7 1 26 3.9 15 7 0 0 2 9 17 5 80 1 6 100 8 1 5 10 0 100 4 1 
Obs10 10 1 1 0 3 1 1 0 6 0 0 22 3.2 12 8 6 4 1 10 6 3 200 5 5 30 4 0 3 8 10 0 6 1 
Obs11 11 1 1 0 0 1 5 7 1 4 1 27 2.9 0 0 0 1 1 2 5 5 16 5 8 58 4 5 5 7 0 20 1 1 
Obs12 12 0 0 1 2 1 0 0 7 6 1 30 3.8 12 39 10 1 1 3 1 5 500 6 5 500 6 1 5 9 0 100 7 1 
Obs13 13 1 1 0 0 1 3 0 1 7 1 28 2.8 5 6 3 2 2 4 6 5 100 1 4 98 5 1 4 7 0 100 7 1 
Obs14 14 0 0 0 2 1 0 6 0 5 0 31 3.8 0 1 10 2 7 2 10 5 60 5 10 10 1 0 8 9 0 100 8 1 
Obs15 15 1 2 0 3 1 2 6 2 6 1 26 3.5 0 0 4 2 1 5 10 1 60 5 10 80 1 0 9 5 0 0 5 1 
Obs16 16 1 1 0 1 1 0 0 2 5 1 33 3.9 4 4 1 2 2 2 5 7 100 5 9 130 3 0 5 10 0 100 0 1 
Obs17 17 1 1 1 2 1 0 1 5 1 0 30 4 9 13 0 1 2 5 20 6 100 5 7 80 1 0 4 6 0 20 1 1 
Obs18 18 1 1 0 1 1 0 6 0 3 1 31 3.8 4 3 2 3 2 6 10 5 80 5 9 110 3 0 3 8 5 90 4 1 
Obs19 19 1 1 0 3 1 1 2 6 5 1 27 3.9 3 0 3 1 10 5 2 7 200 5 5 80 4 0 6 2 5 10 9 1 
Obs20 20 1 1 1 3 1 0 1 4 4 0 26 3.6 10 10 4 1 4 3 6 5 100 2 10 150 1 0 5 8 0 100 7 1 
Obs21 21 1 1 1 2 1 0 0 2 5 1 29 3.7 6 8 0 0 4 4 7 5 60 5 7 110 3 0 3 10 0 90 3 1 
Obs22 22 1 1 0 2 1 0 6 0 8 1 34 4 25 50 4 0 7 1 8 10 110 5 5 115 5 5 1 8 0 80 0 1 
Obs23 23 1 1 1 2 1 5 0 5 3 1 34 3.9 5 7 1 1 0 3 7 8 120 5 4 190 4 2 4 9 0 20 5 1 
Obs24 24 1 1 0 3 1 2 7 0 8 1 32 3.8 6 5 4 2 8 4 9 10 500 5 10 20 0 0 5 10 0 100 10 1 
Obs25 25 0 0 0 2 1 0 7 0 6 0 28 3.9 0 0 1 1 2 3 6 6 100 5 10 36 3 0 6 9 0 10 9 1 
Obs26 26 0 0 0 2 1 0 6 3 3 0 23 3.4 4 6 0 0 1 3 4 7 10000 2 9 300 2 0 7 9 0 80 8 1 
Obs27 27 0 0 0 2 1 3 0 6 3 1 26 3.4 0 0 1 1 0 1 2 4 300 5 6 300 4 1 5 7 0 70 8 1 
Obs28 28 1 1 0 0 1 0 0 8 0 0 28 3.8 8 10 1 1 7 4 5 5 85 5 5 140 4 0 5 10 0 100 5 1 
Obs29 29 1 1 1 2 1 0 0 7 4 0 31 2.8 9 14 9 3 2 1 4 10 100 6 3 110 3 0 7 8 0 100 4 1 
Obs30 30 1 1 0 1 1 0 0 6 2 0 28 3.3 0 0 14 5 5 1 6 3 75 2 10 275 4 1 8 7 0 0 1 1 
Obs31 31 1 1 1 2 1 4 3 5 8 1 32 3.5 10 15 0 0 1 5 6 5 600 5 8 600 1 0 3 9 0 90 9 1 
Obs32 32 1 1 0 3 1 5 6 2 5 0 25 3.5 4 0 3 0 8 3 5 8 50 5 10 70 0 0 3 7 0 70 0 1 
Obs33 33 0 0 1 2 1 0 7 0 2 0 26 3.6 8 10 1 1 3 3 4 7 70 5 8 120 7 4 3 7 0 100 0 1 
Obs34 34 0 0 0 2 1 0 0 3 5 1 31 3.5 5 10 2 1 2 2 5 8 100 2 7 100 3 0 5 7 5 100 7 1 
Obs35 35 1 1 0 1 0 5 6 1 7 1 30 3.3 8 12 2 0 3 2 6 2 120 5 8 200 2 0 8 9 0 80 6 1 
Obs36 36 0 0 0 1 1 1 0 8 6 1 22 3.3 0 0 1 3 2 2 4 10 1000 5 9 70 4 0 8 9 25 100 8 1 
Obs37 37 1 1 0 3 1 1 0 5 5 1 21 2.4 3 3 3 0 3 5 5 5 200 6 3 100 3 0 4 4 25 100 5 1 
Obs38 38 0 0 0 1 0 2 0 7 5 1 21 3.5 0 0 1 1 3 2 3 8 5000 6 10 500 8 1 10 8 0 0 7 1 
