Activities,Total Grade,Year 10 Grade,Year 11 Grade,Year 12 Grade
no,7.333333333,0,11,11
no,10.33333333,9,11,11
no,12.33333333,12,13,12
yes,14,14,14,14
no,12.33333333,11,13,13
yes,12.33333333,12,12,13
no,12.66666667,13,12,13
no,12,10,13,13
no,16,15,16,17
yes,12.33333333,12,12,13
no,14,14,14,14
yes,11.66666667,10,12,13
yes,12.33333333,12,13,12
no,12.33333333,12,12,13
no,14.33333333,14,14,15
no,17,17,17,17
yes,13.33333333,13,13,14
yes,13.66666667,13,14,14
yes,7.666666667,8,8,7
yes,12,12,12,12
no,13,12,13,14
no,11.66666667,11,12,12
yes,13,12,13,14
yes,10,10,10,10
yes,10.33333333,10,11,10
no,11,10,11,12
no,11.66666667,11,12,12
no,11,11,11,11
yes,12.33333333,12,12,13
yes,11.66666667,12,11,12
no,10.66666667,10,11,11
yes,15,15,15,15
yes,14,13,14,15
yes,12.33333333,13,12,12
no,12,12,12,12
yes,11,11,11,11
yes,14,14,14,14
yes,13,13,13,13
yes,11.66666667,11,12,12
yes,13,14,13,12
yes,10.66666667,11,11,10
no,10.66666667,10,11,11
yes,14.66666667,14,15,15
no,9.666666667,9,10,10
yes,10.66666667,10,11,11
yes,10.66666667,10,11,11
no,12.66666667,13,12,13
yes,17,17,17,17
no,12,11,12,13
yes,12.33333333,13,12,12
no,13.33333333,14,13,13
no,15.33333333,16,14,16
no,9.333333333,10,9,9
no,12.33333333,13,12,12
no,12.66666667,13,12,13
yes,12.33333333,12,13,12
yes,14.66666667,15,14,15
yes,15.33333333,15,15,16
yes,13.66666667,14,13,14
no,15.66666667,16,15,16
yes,16.33333333,17,16,16
yes,12,10,10,16
yes,12,13,13,10
yes,13.33333333,14,13,13
yes,12.33333333,13,12,12
yes,15.66666667,16,15,16
yes,11.66666667,11,12,12
no,9.666666667,10,9,10
no,10.66666667,11,10,11
no,15,15,15,15
no,11.66666667,13,11,11
no,10,11,9,10
no,11.66666667,13,11,11
yes,13.33333333,13,13,14
yes,11,11,11,11
yes,11,11,11,11
yes,11.33333333,12,11,11
no,13,13,13,13
yes,9.333333333,9,9,10
no,11.33333333,12,11,11
yes,11.33333333,11,11,12
no,9.333333333,10,9,9
no,11.33333333,12,11,11
yes,12.66666667,13,12,13
yes,12.33333333,13,12,12
no,11.66666667,12,11,12
no,11.66666667,13,11,11
yes,15,15,15,15
yes,11,12,10,11
no,9.333333333,9,9,10
no,10.33333333,9,11,11
yes,13.33333333,14,13,13
no,12.33333333,12,13,12
yes,13.66666667,13,14,14
yes,11.66666667,11,12,12
yes,13,13,13,13
yes,10.33333333,9,11,11
no,12.33333333,13,12,12
yes,12.66666667,12,13,13
no,12.66666667,12,13,13
yes,8.666666667,9,9,8
yes,16,16,16,16
yes,12.33333333,12,13,12
no,10.33333333,11,10,10
yes,16,16,16,16
no,10,10,10,10
no,10,10,10,10
yes,13.66666667,13,14,14
yes,11,12,10,11
yes,14.66666667,15,15,14
yes,13.66666667,13,14,14
yes,11,11,11,11
yes,9.333333333,8,10,10
no,17.66666667,18,17,18
yes,9.666666667,10,9,10
yes,14.66666667,16,14,14
yes,15.66666667,16,15,16
yes,14.33333333,14,14,15
yes,11.33333333,12,11,11
no,13.66666667,14,13,14
no,14,14,14,14
yes,13.33333333,14,13,13
yes,13,14,12,13
yes,12.66666667,12,13,13
no,11.33333333,12,11,11
no,9,9,9,9
yes,10.66666667,10,11,11
no,10,9,10,11
yes,14.33333333,14,14,15
no,12.66666667,13,12,13
no,11,10,11,12
yes,9,10,9,8
no,10.66666667,11,10,11
yes,12,11,12,13
no,12.33333333,13,12,12
no,14,15,13,14
no,9.666666667,9,9,11
no,11.66666667,13,11,11
no,11.33333333,12,11,11
yes,14,13,14,15
no,9.666666667,10,9,10
no,13.33333333,14,13,13
yes,11.33333333,11,11,12
yes,11.33333333,12,11,11
yes,11.33333333,12,11,11
yes,9.333333333,9,9,10
no,10,10,10,10
yes,13.66666667,13,14,14
yes,8.666666667,8,9,9
no,10.33333333,9,11,11
no,8.666666667,9,8,9
yes,13.66666667,15,13,13
yes,11.33333333,12,11,11
yes,13,13,13,13
no,10.66666667,10,11,11
no,7.333333333,9,7,6
no,12,12,12,12
yes,10.33333333,11,10,10
no,11,11,11,11
no,12.66666667,13,12,13
no,11,11,11,11
no,8.666666667,9,9,8
no,11.33333333,12,11,11
no,6.666666667,11,9,0
yes,9.666666667,9,10,10
yes,13,13,13,13
no,10.33333333,11,9,11
no,13,13,13,13
yes,7.666666667,7,8,8
no,9,9,8,10
yes,10.66666667,11,10,11
no,11,12,10,11
no,7,10,10,1
no,9,9,8,10
yes,8.333333333,8,8,9
no,7,7,6,8
yes,9,8,9,10
no,8.333333333,9,8,8
yes,8,8,8,8
yes,7.666666667,8,7,8
no,10,9,10,11
no,17.33333333,17,17,18
no,12.33333333,12,12,13
no,16.33333333,16,16,17
yes,9.333333333,9,9,10
yes,17,16,17,18
yes,10,11,9,10
yes,13.33333333,14,13,13
yes,14.33333333,14,14,15
yes,10.66666667,10,11,11
yes,13,13,12,14
yes,10,11,9,10
yes,10,10,9,11
yes,11.66666667,11,11,13
yes,10.66666667,11,10,11
yes,12,11,12,13
yes,17.33333333,17,18,17
yes,13.66666667,14,13,14
no,15,14,15,16
yes,12.66666667,11,13,14
yes,10,10,9,11
yes,14.33333333,13,14,16
no,13,12,13,14
no,9.333333333,9,9,10
no,12.33333333,12,12,13
yes,11.66666667,12,11,12
yes,11,10,11,12
yes,10.33333333,11,10,10
no,12.33333333,13,12,12
yes,15,14,15,16
no,13.33333333,13,13,14
yes,11,10,11,12
no,15,14,15,16
no,10.66666667,11,10,11
yes,14.33333333,14,14,15
yes,11.66666667,11,12,12
no,14.66666667,14,15,15
no,13,13,13,13
yes,13,13,13,13
no,8.333333333,8,9,8
no,11.33333333,11,11,12
yes,14.66666667,14,15,15
